"Reporting starts","Reporting ends","Ad name",Age,Gender,"Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (IDR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name",Reaction/Reach,"Post engagements","Link clicks","CTR (link click-through rate)",Frequency,"Instagram follows","Page engagement","Results (initial)","Results (initial) indicator"
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,female,inactive,5869,reach,1646.2770489,50000,Daily,9662,7164,5869,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00051116,4,,,1.220651,0,4,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,male,inactive,19610,reach,1704.3345232,50000,Daily,33422,24834,19610,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00015298,5,,,1.266395,0,5,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,unknown,inactive,143,reach,1650.34965035,50000,Daily,236,172,143,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.202797,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,female,inactive,10206,reach,1783.26474623,50000,Daily,18200,13531,10206,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00019596,5,,,1.325789,0,5,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,male,inactive,53703,reach,1769.67767164,50000,Daily,95037,69421,53703,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.0003538,38,2,0.002881,1.292684,0,38,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,unknown,inactive,337,reach,1845.69732938,50000,Daily,622,465,337,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.379822,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,female,inactive,7211,reach,1814.72749965,50000,Daily,13086,9778,7211,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00041603,3,,,1.355984,0,3,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,male,inactive,31081,reach,1854.70222966,50000,Daily,57646,42916,31081,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00048261,25,1,0.00233,1.380779,0,25,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,unknown,inactive,151,reach,1774.83443709,50000,Daily,268,207,151,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0,,,,1.370861,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",45-54,female,inactive,9038,reach,1908.0548794,50000,Daily,17245,12898,9038,Ongoing,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-07-24T11:29:11+0700,-,-,-,"Micro Targeting A+",0.00044258,7,,,1.427086,0,7,,
