"Awal pelaporan","Akhir pelaporan","Nama iklan",Platform,Penempatan,"Platform Perangkat","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,"Momen Proper",Facebook,Marketplace,"Di aplikasi",not_delivering,4816,reach,1470.72259136,30000,Harian,7083,4941,4816,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.025955,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Hasil Pencarian","Di aplikasi",not_delivering,2,reach,500,30000,Harian,1,2,2,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,Kabar,"Di aplikasi",not_delivering,773,reach,1505.82147477,30000,Harian,1164,804,773,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.040103,0,,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,"Reels Instagram","Di aplikasi",not_delivering,9714,reach,1482.9112621,30000,Harian,14405,9955,9714,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.00010294,1,,,1.02481,0,1,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,"Instagram Stories","Di aplikasi",not_delivering,187,reach,1438.5026738,30000,Harian,269,188,187,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.005348,0,,,
2026-07-01,2026-07-31,"Momen Proper",Threads,"Kabar Threads","Di aplikasi",not_delivering,13,reach,1076.92307692,30000,Harian,14,13,13,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",WhatsApp,Status,"Di aplikasi",not_delivering,93,reach,989.24731183,30000,Harian,92,93,93,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Facebook,"Hasil Pencarian","Di aplikasi",not_delivering,,,,30000,Harian,1,1,1,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,Kabar,"Di aplikasi",not_delivering,2,actions:post_interaction_gross,49.5,30000,Harian,99,2,2,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",1,2,,,1,0,2,,
2026-07-01,2026-07-31,"Momen Proper",Instagram,"Reels Instagram","Di aplikasi",not_delivering,2,actions:post_interaction_gross,61.5,30000,Harian,123,3,3,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.66666667,2,,,1,0,2,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",Instagram,Kabar,"Di aplikasi",not_delivering,8,actions:post_interaction_gross,57.875,30000,Harian,463,12,11,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.63636364,8,,,1.090909,0,8,,
2026-07-01,2026-07-31,"Tim Kopi atau Teh",Instagram,"Reels Instagram","Di aplikasi",not_delivering,,,,30000,Harian,119,4,4,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,"Facebook Reels","Di aplikasi",inactive,18,actions:post_interaction_gross,1478.72222222,30000,Harian,26617,4106,3872,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00464876,3081,,,1.060434,0,3081,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,"Facebook Reels","Web Seluler",inactive,,,,30000,Harian,667,129,119,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,86,,,1.084034,0,86,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,"Facebook Stories","Di aplikasi",inactive,,,,30000,Harian,12,3,3,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,1,,,1,0,1,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",Facebook,Kabar,Desktop,inactive,,,,30000,Harian,120,19,18,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,9,,,1.055556,0,9,,
