"Awal pelaporan","Akhir pelaporan","Nama iklan",Usia,"Jenis kelamin","Penayangan iklan",Hasil,"Indikator Hasil","Biaya per Hasil","Anggaran Set Iklan","Jenis Anggaran Set Iklan","Jumlah yang dibelanjakan (IDR)",Impresi,Jangkauan,Berakhir,"Pengaturan atribusi",Tawaran,"Jenis tawaran","Editan Signifikan Terakhir","Peringkat kualitas","Peringkat nilai interaksi","Peringkat nilai konversi","Nama set iklan",Reaction/Reach,"Interaksi postingan","Klik tautan","CTR (rasio klik tayang tautan)",Frekuensi,"Pengikut Instagram","Interaksi Halaman","Hasil (awal)","Indikator hasil (awal)"
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",45-54,unknown,inactive,1,actions:post_interaction_gross,122,30000,Harian,122,22,22,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.04545455,15,,,1,0,15,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",55-64,female,inactive,6,actions:post_interaction_gross,2244.5,30000,Harian,13467,1627,1584,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00315657,1260,,,1.027146,0,1260,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",55-64,male,inactive,8,actions:post_interaction_gross,2021.25,30000,Harian,16170,2126,2022,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00395648,1545,,,1.051434,0,1545,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",55-64,unknown,inactive,,,,30000,Harian,35,8,6,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,6,,,1.333333,0,6,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",65+,female,inactive,7,actions:post_interaction_gross,868.85714286,30000,Harian,6082,716,671,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00894188,532,,,1.067064,0,532,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",65+,male,inactive,5,actions:post_interaction_gross,1841.6,30000,Harian,9208,1319,1292,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0.00309598,840,,,1.020898,0,840,,
2026-07-01,2026-07-31,"Dapet Kerjaan di Luar Jobdesk",65+,unknown,inactive,,,,30000,Harian,19,3,3,Berlangsung,"Klik 7 hari atau tayangan 1 hari",60,ABSOLUTE_OCPM,2026-06-25T10:29:26+0700,-,-,-,"Micro Targeting A+",0,2,,,1,0,2,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,female,not_delivering,91,reach,1395.6043956,30000,Harian,127,94,91,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.032967,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",18-24,male,not_delivering,404,reach,1467.82178218,30000,Harian,593,421,404,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.042079,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,female,not_delivering,158,reach,1430.37974684,30000,Harian,226,162,158,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.025316,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,male,not_delivering,1207,reach,1370.33968517,30000,Harian,1654,1215,1207,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0.0008285,1,,,1.006628,0,1,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",25-34,unknown,not_delivering,8,reach,1500,30000,Harian,12,8,8,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,female,not_delivering,130,reach,1292.30769231,30000,Harian,168,130,130,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,male,not_delivering,789,reach,1429.65779468,30000,Harian,1128,819,789,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1.038023,0,,,
2026-07-01,2026-07-31,"Punya Peran Masing-masing",35-44,unknown,not_delivering,3,reach,1333.33333333,30000,Harian,4,3,3,Berlangsung,"Klik 7 hari atau tayangan 1 hari",0,ABSOLUTE_OCPM,2026-06-19T11:30:22+0700,-,-,-,"Micro Targeting A+",0,,,,1,0,,,
